"会話：カーミラ" -> "Conversation: Carmilla"
"実は私、剣の使い手なんですよ……" -> "Actually, I am a sword user ... ..."
"意外でしたか？" -> "Was it surprising?"
"意外だ" -> "Surprising"
"そうでもない" -> "Not really"
"僕もそうだ" -> "I am the same"
"意外だ" -> "Surprising"
"【カーミラ】" -> "【Carmilla】"
"ふふーん！　すごいでしょう！" -> "Huffing! It will be amazing!"
"そうでもない" -> "Not really"
"【カーミラ】" -> "【Carmilla】"
"そうですか……" -> "Is that so……"
"僕もそうだ" -> "I am the same"
"【カーミラ】" -> "【Carmilla】"
"ならば、戦って決着をつけましょう！" -> "Then, fight and let's settle!"
"【カーミラ】" -> "【Carmilla】"
"たまには、黒以外のマントも着たいですね……" -> "Sometimes, I want to wear cloves other than black ..."
"何色がいいと思いますか？" -> "What color do you think is good?"
"赤" -> "Red"
"紫" -> "purple"
"金" -> "Money"
"赤" -> "Red"
"【カーミラ】" -> "【Carmilla】"
"女王様と同じ色は、ちょっと……" -> "The same color as the Queen, a bit ... ..."
"紫" -> "purple"
"【カーミラ】" -> "【Carmilla】"
"趣味が悪すぎますよぉ……" -> "My hobby is too bad ..."
"金" -> "Money"
"【カーミラ】" -> "【Carmilla】"
"いいですね！　輝きますね！" -> "Sounds good! It will shine!"
"要求" -> "request"
"【カーミラ】" -> "【Carmilla】"
"トマトが食べたいです……" -> "I want to eat tomatoes ......"
"「トマト」をあげますか？（所持数：" -> "Would you give \"tomato\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【カーミラ】" -> "【Carmilla】"
"わぁ、嬉しい♪" -> "Wow, I'm happy."
"いいえ" -> "No"
"【カーミラ】" -> "【Carmilla】"
"そうですか、残念です……" -> "I see, it is disappointing ... ..."
"【カーミラ】" -> "【Carmilla】"
"スパゲティを啜りたいです……" -> "I would like to spaghetti ......"
"「スパゲティ」をあげますか？（所持数：" -> "Do you give \"spaghetti\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【カーミラ】" -> "【Carmilla】"
"わぁ、嬉しい♪" -> "Wow, I'm happy."
"いいえ" -> "No"
"【カーミラ】" -> "【Carmilla】"
"そうですか、残念です……" -> "I see, it is disappointing ... ..."
"【カーミラ】" -> "【Carmilla】"
"お金が欲しいです……" -> "I want money."
"をあげますか？（所持金：" -> "Do you give? (Possession fee:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【カーミラ】" -> "【Carmilla】"
"わぁ、嬉しい♪" -> "Wow, I'm happy."
"いいえ" -> "No"
"【カーミラ】" -> "【Carmilla】"
"そうですか、残念です……" -> "I see, it is disappointing ... ..."
"【カーミラ】" -> "【Carmilla】"
"……あれ、持ってないんですか？" -> "... .... Do you have that?"
"贈与" -> "Gift"
"【カーミラ】" -> "【Carmilla】"
"えっちなのはダメですよ。" -> "Well that's useless."
"カーミラから「脱淫薬」をもらった！" -> "I got \"desensitizing drug\" from Carmilla!"
"【カーミラ】" -> "【Carmilla】"
"これ、食べて下さいね。" -> "Please eat this."
"カーミラから「オムライス」をもらった！" -> "I got \"omelette\" from Carmilla!"
"【カーミラ】" -> "【Carmilla】"
"これ、使って下さいね。" -> "Please use it."
"カーミラから2250Gをもらった！" -> "I got 2250 G from Carmilla!"
