"会話：ブルースライム" -> "Conversation: Blue Slime"
"そうなんだ……空、綺麗だもんね。" -> "I see ... it's sky, it's pretty."
"海" -> "Ocean"
"【ブルースライム】" -> "【Blue Slime】"
"海、見た事ないの。" -> "I have not seen the ocean."
"見てみたいな……" -> "I want to see ......"
"君の方が綺麗" -> "You are clearer"
"【ブルースライム】" -> "【Blue Slime】"
"ちょっと、うれしい……" -> "I am a little happy ...."
"【ブルースライム】" -> "【Blue Slime】"
"アオ、いいよね……" -> "Ao, it's okay ..."
"いい……" -> "Good……"
"いや……" -> "Disagreeable……"
"ルカ、いいよね……" -> "Luca, you have a good time ..."
"いい……" -> "Good……"
"【ブルースライム】" -> "【Blue Slime】"
"……………………" -> "........................"
"気持ちが通じ合った気がした……" -> "I felt like I was able to communicate with each other ......"
"いや……" -> "Disagreeable……"
"【ブルースライム】" -> "【Blue Slime】"
"……………………" -> "........................"
"ルカ、いいよね……" -> "Luca, you have a good time ..."
"【ブルースライム】" -> "【Blue Slime】"
"いい……" -> "Good……"
"要求" -> "request"
"【ブルースライム】" -> "【Blue Slime】"
"パンって、おいしいの……？" -> "Bread is tasty ... ....?"
"「パン」をあげますか？（所持数：" -> "Would you give \"bread\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【ブルースライム】" -> "【Blue Slime】"
"うれしい……" -> "I'm so glad"
"いいえ" -> "No"
"【ブルースライム】" -> "【Blue Slime】"
"ご、ごめんね……" -> "I'm sorry, ..."
"【ブルースライム】" -> "【Blue Slime】"
"水石、欲しいな……" -> "Water stone, I want ... ..."
"「水石」をあげますか？（所持数：" -> "Do you give \"water stone\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【ブルースライム】" -> "【Blue Slime】"
"うれしい……" -> "I'm so glad"
"いいえ" -> "No"
"【ブルースライム】" -> "【Blue Slime】"
"ご、ごめんね……" -> "I'm sorry, ..."
"【ブルースライム】" -> "【Blue Slime】"
"お金、ほしいな……" -> "I want money, ... ...."
"をあげますか？（所持金：" -> "Do you give? (Possession fee:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【ブルースライム】" -> "【Blue Slime】"
"うれしい……" -> "I'm so glad"
"いいえ" -> "No"
"【ブルースライム】" -> "【Blue Slime】"
"ご、ごめんね……" -> "I'm sorry, ..."
"【ブルースライム】" -> "【Blue Slime】"
"……ないの？　ごめんね……" -> "……There no? sorry……"
"贈与" -> "Gift"
"【ブルースライム】" -> "【Blue Slime】"
"ゼリー、あげる……" -> "Jelly, I will give you ...."
"ブルースライムから「ぐにゅぐにゅゼリー」をもらった！" -> "I got \"Gyunyugyu Jelly\" from Blue Slime!"
"【ブルースライム】" -> "【Blue Slime】"
"聖水、あげる……" -> "Holy water, I will give you ...."
"ブルースライムから「聖水」をもらった！" -> "I received \"holy water\" from Blue Slime!"
"【ブルースライム】" -> "【Blue Slime】"
"お金、あげる……" -> "I will give you money ..."
"ブルースライムから725Gをもらった！" -> "I got 725 G from Blue Slime!"
